SrNo,ISO StateCode,Latitude,Longitude,StateName,countrycode,,
1,AD-07,42.5045,1.49414,Andorra La Valla,AD,,
2,AD-02,42.58333,1.65833,Canillo,AD,,
3,AD-03,42.53333,1.63333,Encamp,AD,,
4,AD-08,42.5,1.56667,Escaldes-Engordany,AD,,
5,AD-04,42.55417,1.48333,La Massana,AD,,
6,AD-05,42.59758,1.52573,Ordino,AD,,
7,AD-06,42.46247,1.48247,Sant Julia de Loria,AD,,
8,AZ,25.5,55.75,Umm al Qaywayn,AE,,
9,AJ,25.66667,56,Ra's al Khaymah,AE,,
10,FU,25,55.33333,Dubai,AE,,
11,SH,25,55.75,Ash Shariqah,AE,,
12,DU,25.13333,56.25,Al Fujayrah,AE,,
13,RK,24,55,Ajman,AE,,
14,UQ,23.66667,54,Abu Zaby,AE,,
15,KRD,31.613323,65.710126,Kandahar,AF,,
16,NGR,34.426468,70.45153,Nangarhar,AF,,
17,HRT,34.348167,62.199673,Herat,AF,,
18,BLH,36.709041,67.110866,Balkh,AF,,
19,KDZ,36.728955,68.857001,Kunduz,AF,,
20,HEL,31.593817,64.371614,Helmand,AF,,
21,FYB,35.921337,64.784058,Faryab,AF,,
22,GAZ,33.550833,68.4225,Ghazni,AF,,
23,PKT,33.597439,69.225922,Paktiya,AF,,
24,JZJ,36.667567,65.752904,Jowzjan,AF,,
25,FRH,32.374508,62.116383,Farah,AF,,
26,BDN,37.116638,70.580022,Badakhshan,AF,,
27,TAK,36.734133,69.533559,Takhar,AF,,
28,BAG,35.944583,68.715122,Baghlan,AF,,
29,PRN,35.016585,69.174011,Parwan,AF,,
30,KNR,34.873113,71.14697,Kunar,AF,,
31,SAM,36.26468,68.015512,Samangan,AF,,
32,LGM,34.671389,70.209444,Laghman,AF,,
33,ZBL,32.10575,66.908332,Zabul,AF,,
34,ORZ,32.62675,65.873313,Uruzgan,AF,,
35,KPS,35.016406,69.344504,Kapisa,AF,,
36,BDG,34.987351,63.128911,Badghis,AF,,
37,DYK,33.721777,66.130229,Daykundi,AF,,
38,PJR,35.31292,69.51519,Panjshir,AF,,
39,GHR,34.519516,65.250935,Ghor,AF,,
40,KST,33.339512,69.92041,Khost,AF,,
41,LGR,33.995289,69.02274,Logar,AF,,
42,WDK,34.395614,68.866179,Wardak,AF,,
43,SRP,36.215443,65.932487,Sar-e Pul,AF,,
44,NUR,35.420644,70.922612,Nuristan,AF,,
45,BAM,34.821558,67.827338,Bamyan,AF,,
46,PAK,33.175678,68.730449,Paktika,AF,,
47,NRZ,30.966667,61.883333,Nimroz,AF,,
48,AG-03,17.05,-61.76667,Parish of Saint Philip,AG,,
49,AG-04,17.1,-61.76667,Parish of Saint Peter,AG,,
50,AG-05,17.0003,-61.76667,Parish of Saint Paul,AG,,
51,AG-06,17.05,-61.85,Parish of Saint Mary,AG,,
52,AG-07,17.1,-61.85,Parish of Saint John,AG,,
53,AG-08,17.11667,-61.8,Parish of Saint George,AG,,
54,AG-10,16.92956,-62.34741,Redonda,AG,,
55,AG-11,17.6333,-61.8,Barbuda,AG,,
56,,18.177,-63.09161,Blowing Point,AI,,
57,,18.20399,-63.08993,Sandy Ground,AI,,
58,,18.22066,-63.01178,Sandy Hill,AI,,
59,,18.21475,-63.05706,The Valley,AI,,
60,,18.234,-62.99728,East End,AI,,
61,,18.20603,-63.07607,North Hill,AI,Anguilla,
62,,18.17138,-63.15113,West End,AI,,
63,,18.19177,-63.0898,South Hill,AI,,
64,,18.21158,-63.04504,The Quarter,AI,,
65,,18.22931,-63.0468,North Side,AI,,
66,,18.25617,-63.00724,Island Harbour,AI,,
67,,18.19943,-63.06517,George Hill,AI,,
68,,18.22112,-63.04466,Stoney Ground,AI,,
69,,18.21533,-63.02123,The Farrington,AI,,
70,TR,41.3275,19.818889,Tirane,AL,,
71,EL,41.1125,20.082222,Elbasan,AL,,
72,SH,42.0675,19.513056,Shkoder,AL,,
73,DR,41.323056,19.441389,Durres,AL,,
74,VL,40.466667,19.489722,Vlore,AL,,
75,FR,40.723889,19.556111,Fier,AL,,
76,KO,40.618611,20.780833,Korce,AL,,
77,BR,40.705833,19.952222,Berat,AL,,
78,GJ,40.075833,20.138889,Gjirokaster,AL,,
79,LE,41.783611,19.643611,Lezhe,AL,,
80,KU,42.076944,20.421944,Kuke,AL,,
81,DI,41.685,20.428889,Diber,AL,,
82,EL,41.1125,20.082222,Elbasan,AL,,
83,SH,42.0675,19.513056,Shkoder,AL,,
84,DR,41.323056,19.441389,Durres,AL,,
85,VL,40.466667,19.489722,Vlore,AL,,
86,FR,40.723889,19.556111,Fier,AL,,
87,KO,40.618611,20.780833,Korce,AL,,
88,BR,40.705833,19.952222,Berat,AL,,
89,GJ,40.075833,20.138889,Gjirokaster,AL,,
90,LE,41.783611,19.643611,Lezhe,AL,,
91,KU,42.076944,20.421944,Kukes,AL,,
92,DI,41.685,20.428889,Diber,AL,,
